School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2020-21,Asian or Asian/Pacific Islander Students [Public School] 2020-21,Hispanic Students [Public School] 2020-21,Black or African American Students [Public School] 2020-21,White Students [Public School] 2020-21,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2020-21,Total Race/Ethnicity [Public School] 2020-21,Two or More Races Students [Public School] 2020-21,School Level (SY 2017-18 onward) [Public School] 2020-21
MARY COLLINS CHARTER SCHOOL AT CHERRY VALLEY,California,0630250,063025004716,4,4,65,6,285,–,406,42,Elementary
MARY DETERDING ELEMENTARY,California,0634620,063462005772,1,67,116,19,336,–,606,67,Elementary
MARY E. SILVEIRA ELEMENTARY,California,0611220,061122010255,–,28,135,5,203,1,418,46,Elementary
MARY FARMAR ELEMENTARY,California,0604620,060462000424,1,25,96,17,219,4,432,70,Elementary
MARY FAY PENDLETON ELEMENTARY,California,0613500,061350001543,1,5,182,31,233,4,520,64,Elementary
MARY LOU DIETERICH ELEMENTARY,California,0637950,063795011497,6,80,223,19,160,8,570,74,Elementary
MARY MCLEOD BETHUNE ELEMENTARY,California,0691135,069113510290,1,21,372,74,22,1,518,27,Elementary
MARY MCLEOD BETHUNE MIDDLE,California,0622710,062271002856,–,–,843,139,9,2,997,4,Middle
MARY P. HENCK INTERMEDIATE,California,0632610,063261005071,1,5,292,2,359,1,686,26,Middle
MARY PEACOCK ELEMENTARY,California,0610770,061077005574,15,8,64,–,144,–,250,19,Elementary
MARY TSUKAMOTO ELEMENTARY,California,0612330,061233001034,8,416,276,93,84,17,975,81,Elementary
MARYLAND AVENUE ELEMENTARY,California,0620250,062025002437,1,26,171,29,182,5,462,48,Elementary
MARYLAND ELEMENTARY,California,0641190,064119011769,2,4,539,6,21,–,589,17,Elementary
MARYLIN AVENUE ELEMENTARY,California,0622110,062211002631,–,31,273,5,37,1,362,15,Elementary
MARYSVILLE CHARTER ACADEMY FOR THE ARTS,California,0624090,062409008671,1,33,145,6,153,3,373,32,High
MARYSVILLE COMMUNITY DAY,CALIFORNIA,0624090,062409013879,0,0,9,0,10,0,19,0,High
MARYSVILLE HIGH,California,0624090,062409003633,28,46,334,48,456,7,1000,81,High
MASON ELEMENTARY,California,0634320,063432005515,7,144,179,34,75,2,507,66,Elementary
MASUDA (KAZUO) MIDDLE,California,0614220,061422001628,2,428,138,8,165,5,789,43,Middle
MATH AND SCIENCE COLLEGE PREPARATORY,CALIFORNIA,0601798,060179813084,–,4,479,43,1,–,527,–,High
MATH SCIENCE & TECHNOLOGY MAGNET ACADEMY AT ROOSEVELT HIGH,California,0622710,062271012791,–,3,544,1,4,–,552,–,High
MATHER HEIGHTS ELEMENTARY,California,0613890,061389008575,–,82,87,12,132,1,384,70,Elementary
MATHEW J BRLETIC ELEMENTARY,California,0629910,062991004655,–,–,416,–,8,–,427,3,Elementary
MATILDA TORRES HIGH,CALIFORNIA,0623340,062334014457,7,7,858,6,47,0,930,5,High
MATILIJA MIDDLE,California,0628270,062827004376,–,8,226,4,246,1,499,14,Middle
MATRIX FOR SUCCESS ACADEMY,CALIFORNIA,0602396,060239614253,0,1,144,16,1,0,162,0,High
MATSUYAMA ELEMENTARY,California,0633840,063384002539,1,141,151,56,84,8,531,90,Elementary
MATT GARCIA CAREER AND COLLEGE ACADEMY,California,0613360,061336012797,1,3,130,17,16,1,181,13,Middle
MATTHEW GAGE MIDDLE,California,0633150,063315005138,–,17,683,49,220,–,996,27,Middle
MATTHEW TURNER ELEMENTARY,California,0604620,060462002832,–,79,89,22,203,1,479,85,Elementary
MATTIE LOU MAXWELL,California,0623430,062343003561,2,62,442,37,67,1,623,12,Elementary
MATTIE WASHBURN ELEMENTARY,California,0600034,060003401797,–,7,216,2,197,–,447,25,Elementary
MATTOLE ELEMENTARY,California,0600038,060003803640,1,0,1,0,18,0,26,6,Elementary
MATTOLE TRIPLE JUNCTION HIGH,California,0600038,060003801994,–,–,3,–,9,–,13,1,High
MAUDE B. DAVIS ELEMENTARY,California,0627240,062724007194,–,37,124,5,213,–,456,77,Elementary
MAURICE SENDAK ELEMENTARY,California,0622710,062271011624,–,9,366,3,24,–,407,5,Elementary
MAXINE HONG KINGSTON ELEMENTARY,California,0638010,063801011779,7,115,539,86,31,3,834,53,Elementary
MAXSON ELEMENTARY,California,0626190,062619003916,3,27,432,–,5,–,469,2,Elementary
MAXWELL ACADEMY (PK-8),California,0611520,061152001285,1,20,387,17,18,–,450,7,Elementary
MAXWELL ELEMENTARY,California,0624150,062415003641,3,–,78,1,66,–,148,–,Elementary
MAXWELL MIDDLE,CALIFORNIA,0624150,062415013945,2,–,52,3,28,–,88,3,Middle
MAXWELL SR HIGH,California,0624150,062415003642,1,–,52,1,34,–,89,1,High
MAY RANCH ELEMENTARY,California,0691135,069113512262,2,26,674,93,59,2,893,37,Elementary
MAYA LIN,California,0601770,060177013107,–,80,74,22,171,–,438,91,Elementary
MAYALL STREET ELEMENTARY,California,0622710,062271003174,1,56,277,19,95,–,474,26,Elementary
MAYBERRY STREET ELEMENTARY,California,0622710,062271003175,–,13,146,6,11,–,180,4,Elementary
MAYFAIR ELEMENTARY,California,0614550,061455001751,2,97,482,29,10,1,630,9,Elementary
MAYFAIR HIGH,California,0604440,060444000402,7,324,1560,432,358,33,2820,106,High
MAYFLOWER ELEMENTARY,California,0625320,062532003778,1,57,243,22,149,–,505,33,Elementary
MAYO ELEMENTARY,California,0609620,060962000990,1,2,501,29,2,1,544,8,Elementary
MAYWOOD ACADEMY HIGH,California,0622710,062271010889,1,5,1036,8,10,1,1063,2,High
MAYWOOD CENTER FOR ENRICHED STUDIES,CALIFORNIA,0622710,062271014102,–,4,1299,4,44,–,1356,5,High
MAYWOOD ELEMENTARY,California,0622710,062271010883,–,–,494,2,11,–,509,2,Elementary
MAYWOOD MIDDLE,California,0609780,060978001040,10,5,311,8,121,1,458,2,Middle
MAZE MIDDLE,California,0617340,061734003760,2,10,505,–,55,1,585,12,Middle
MCCABE ELEMENTARY,California,0624180,062418003643,1,31,1129,5,132,–,1312,14,Elementary
MCCABE ELEMENTARY,California,0600022,060002209292,–,7,940,–,2,–,949,–,Elementary
MCCARDLE ELEMENTARY,California,0614550,061455001752,1,47,316,22,74,1,477,16,Elementary
MCCLELLAN HIGH (CONTINUATION),California,0607900,060790009343,0,1,22,6,27,1,60,3,High
MCCLOUD ELEMENTARY,California,0624210,062421003644,–,–,13,–,33,–,59,13,Elementary
MCCLOUD HIGH,California,0636940,063694006278,–,–,–,1,19,–,24,4,High
MCCLYMONDS HIGH,California,0628050,062805011555,–,16,34,278,14,1,357,14,High
MCCOPPIN (FRANK) ELEMENTARY,California,0634410,063441005611,2,102,41,4,41,1,233,42,Elementary
MCCORD ELEMENTARY,California,0619700,061970002371,1,–,413,–,9,–,423,–,Elementary
MCDOWELL ELEMENTARY,California,0630230,063023004719,2,7,198,2,16,1,228,2,Elementary
MCFADDEN INTERMEDIATE,California,0635310,063531005997,2,41,971,8,7,–,1036,7,Middle
MCFARLAND HIGH SCHOOL EARLY COLLEGE,California,0624230,062423007315,–,8,959,4,13,–,984,–,High
MCFARLAND INDEPENDENT,California,0624230,062423007779,0,0,8,0,0,0,8,0,High
MCFARLAND JUNIOR HIGH,California,0624230,062423008898,–,3,530,–,3,–,536,–,Middle
MCGILL SCHOOL OF SUCCESS,CALIFORNIA,0602275,060227505339,1,–,97,13,4,–,142,27,Elementary
MCKEE MIDDLE,California,0616050,061605011210,–,27,941,50,79,1,1103,5,Middle
MCKEVETT ELEMENTARY,California,0601421,060142106110,–,–,302,2,21,1,328,2,Elementary
MCKINLEY,California,0629940,062994010533,3,80,567,165,93,1,934,25,Elementary
MCKINLEY AVENUE ELEMENTARY,California,0622710,062271003177,–,–,551,135,3,–,695,6,Elementary
MCKINLEY ELEMENTARY,California,0603630,060363000308,3,3,492,145,30,2,686,11,Elementary
MCKINLEY ELEMENTARY,California,0600051,060005102012,2,6,188,3,111,–,323,13,Elementary
MCKINLEY ELEMENTARY,California,0607970,060797009346,4,113,503,68,36,–,747,23,Elementary
MCKINLEY ELEMENTARY,California,0612030,061203001338,–,1,442,2,8,–,455,2,Elementary
MCKINLEY ELEMENTARY,California,0622500,062250002744,–,39,410,84,15,15,576,13,Elementary
MCKINLEY ELEMENTARY,California,0630230,063023004720,4,14,161,5,182,2,395,27,Elementary
MCKINLEY ELEMENTARY,California,0634410,063441005647,–,25,58,26,163,1,344,71,Elementary
MCKINLEY ELEMENTARY,California,0632070,063207004941,2,20,190,40,83,1,354,18,Elementary
MCKINLEY ELEMENTARY,California,0609620,060962000991,1,1,272,145,4,3,440,14,Elementary
MCKINLEY ELEMENTARY,California,0638550,063855006472,23,5,81,5,219,21,377,23,Elementary
MCKINLEY ELEMENTARY,California,0635700,063570006096,1,44,139,35,177,–,417,21,Elementary
MCKINLEY ELEMENTARY,California,0634425,063442500572,–,405,163,2,7,1,597,19,Elementary
MCKINLEY ELEMENTARY,California,0601414,060141408980,2,–,260,–,6,–,272,4,Elementary
MCKINLEY ELEMENTARY,California,0638010,063801006424,2,92,664,27,12,8,822,17,Elementary
MCKINLEY ELEMENTARY,California,0600047,060004707387,–,62,293,18,54,8,450,15,Elementary
MCKINLEY ELEMENTARY,California,0606480,060648000584,–,96,161,1,175,3,543,107,Elementary
MCKINLEY ELEMENTARY,California,0614370,061437001649,1,22,209,–,1,2,236,1,Elementary
MCKINLEY ELEMENTARY,California,0634680,063468005837,2,69,233,62,22,7,447,52,Elementary
MCKINLEY ELEMENTARY,California,0634320,063432005516,4,17,177,19,238,1,511,55,Elementary
MCKINLEY INSTITUTE OF TECHNOLOGY,California,0632130,063213004971,–,3,304,1,11,6,329,4,Middle
MCKINLEYVILLE HIGH,California,0603030,060303000239,43,4,64,3,329,4,525,78,High
MCKINLEYVILLE MIDDLE,California,0624300,062430003651,41,7,42,5,201,1,344,47,Middle
MCKINNA ELEMENTARY,California,0629220,062922004511,–,2,589,2,7,4,607,3,Elementary
MCKINNON,California,0635790,063579010562,–,12,447,2,11,–,473,1,Elementary
MCKITTRICK ELEMENTARY,California,0624330,062433003653,–,1,14,3,48,–,67,1,Elementary
MCLANE HIGH,California,0614550,061455001754,8,328,1396,77,60,6,1898,23,High
MCLAREN (JOHN) CHILDREN CENTERS,California,0634410,063441013456,–,6,3,–,2,–,14,3,Elementary
MCMANUS (JOHN A.) ELEMENTARY,California,0608370,060837000822,4,30,146,7,151,8,375,29,Elementary
MCMILLIN (CORKY) ELEMENTARY,California,0608610,060861010377,2,192,388,58,86,3,765,36,Elementary
MCNEAR ELEMENTARY,California,0630230,063023004721,1,6,61,3,256,–,342,15,Elementary
MCPHERSON ELEMENTARY,California,0626640,062664004020,–,6,360,–,10,–,382,6,Elementary
MCPHERSON MAGNET,California,0628650,062865007195,1,112,454,10,229,4,845,35,Elementary
MCSWAIN ELEMENTARY,California,0624360,062436003654,2,58,384,3,359,–,839,33,Elementary
MCSWEENY ELEMENTARY,California,0616920,061692011164,4,5,504,53,120,3,714,25,Elementary
MDUSD PRESCHOOLS,CALIFORNIA,0626370,062637014454,†,†,†,†,†,†,†,†,Not Reported
MEAD VALLEY ELEMENTARY,California,0691135,069113510285,2,3,566,13,30,–,622,8,Elementary
MEADOW ELEMENTARY,California,0641790,064179010332,–,17,77,3,234,4,388,53,Elementary
MEADOW GREEN ELEMENTARY,California,0623010,062301003510,–,43,366,9,77,–,506,11,Elementary
MEADOW HEIGHTS ELEMENTARY,California,0634920,063492005913,–,41,128,–,73,14,299,43,Elementary
MEADOW HOMES ELEMENTARY,California,0626370,062637003956,–,73,595,19,20,5,756,44,Elementary
MEADOW LANE ELEMENTARY,California,0621360,062136002558,11,23,384,23,127,3,606,35,Elementary
MEADOW LANE ELEMENTARY,California,0607680,060768000735,29,12,74,8,255,2,413,33,Elementary
MEADOW PARK ELEMENTARY,California,0684500,068450009212,–,96,48,6,163,1,362,48,Elementary
MEADOW VIEW,California,0638550,063855010230,16,11,86,5,186,11,352,37,Elementary
MEADOW VIEW ELEMENTARY,California,0604380,060438007865,2,14,327,6,18,3,375,5,Elementary
MEADOWBROOK COMMUNITY DAY,California,0600160,060016007168,0,0,0,0,0,0,0,0,Middle
MEADOWBROOK MIDDLE,California,0631530,063153004888,1,245,344,25,424,3,1190,148,Middle
MEADOWLARK ELEMENTARY,California,0600001,060000107534,2,2,145,2,125,–,287,11,Elementary
MEADOWS ARTS AND TECHNOLOGY ELEMENTARY,CALIFORNIA,0601478,060147812541,1,40,64,–,267,1,409,36,Elementary
MEADOWS AVENUE ELEMENTARY,California,0600025,060002503575,1,61,63,6,191,–,390,68,Elementary
MEADOWS ELEMENTARY,California,0624390,062439003655,–,–,377,3,30,2,417,5,Elementary
MEADOWS ELEMENTARY,California,0624900,062490003719,–,244,43,3,73,2,406,41,Elementary
MEADOWS ELEMENTARY,California,0627180,062718004094,–,39,180,7,273,–,523,24,Elementary
MEAIRS ELEMENTARY,California,0642150,064215006910,2,183,258,9,13,6,485,14,Elementary
MECCA ELEMENTARY,California,0609070,060907000924,2,1,730,5,7,–,746,1,Elementary
MEDEA CREEK MIDDLE,California,0627850,062785009414,3,310,93,10,524,3,1022,79,Middle
MEGAN COPE ELEMENTARY,California,0634440,063444012563,7,23,438,46,64,1,600,21,Elementary
MEINERS OAKS ELEMENTARY,California,0628270,062827004377,–,1,108,1,96,–,215,9,Elementary
MELBOURNE (ELLA P.) ELEMENTARY,California,0601620,060162000022,1,9,392,2,4,–,427,19,Elementary
MELINDA HEIGHTS ELEMENTARY,California,0633860,063386007200,–,128,221,6,492,2,972,123,Elementary
MELROSE AVENUE ELEMENTARY,California,0622710,062271003178,–,163,105,20,122,1,458,47,Elementary
MELROSE ELEMENTARY,California,0630660,063066010987,–,1,453,5,4,–,463,–,Elementary
MELROSE LEADERSHIP ACADEMY,California,0628050,062805008679,4,12,416,37,99,–,634,66,Elementary
MELVA DAVIS ACADEMY OF EXCELLENCE,CALIFORNIA,0601710,060171013994,2,22,649,117,43,5,879,41,Middle
MELVILLE S. JACOBSON ELEMENTARY,California,0600047,060004707397,2,102,319,34,76,15,574,26,Elementary
MELVIN AVENUE ELEMENTARY,California,0622710,062271003179,–,38,279,14,23,1,358,3,Elementary
MENDOCINO ALTERNATIVE,California,0624480,062448004624,0,0,3,0,15,0,20,2,Other
MENDOCINO COUNTY COMMUNITY,California,0691019,069101910551,3,0,8,2,5,0,18,0,High
MENDOCINO COUNTY ROP,California,0600118,060011810959,0,0,0,0,0,0,0,0,High
MENDOCINO HIGH,California,0624480,062448003660,2,7,24,4,124,1,165,3,High
MENDOCINO K-8,California,0624480,062448003659,1,4,45,4,192,–,256,10,Elementary
MENDOCINO SUNRISE HIGH,California,0624480,062448003658,0,0,2,0,6,0,9,1,High
MENDOTA COMMUNITY DAY,California,0600022,060002207970,0,0,0,0,0,0,0,0,High
MENDOTA CONTINUATION HIGH,California,0600022,060002200374,0,0,26,0,0,0,26,0,High
MENDOTA ELEMENTARY,CALIFORNIA,0600022,060002213773,–,12,764,1,21,–,799,1,Elementary
MENDOTA HIGH,California,0600022,060002200395,–,1,924,3,19,–,953,6,High
MENDOTA JUNIOR HIGH,California,0600022,060002209293,–,2,550,–,9,–,562,1,Middle
MENIFEE PRESCHOOL,California,0624540,062454013619,†,†,†,†,†,†,†,†,Not Reported
MENIFEE VALLEY MIDDLE,California,0624540,062454009402,2,66,644,85,409,8,1265,51,Middle
MENLO AVENUE ELEMENTARY,California,0622710,062271003180,–,–,371,41,–,–,419,7,Elementary
MENLO-ATHERTON HIGH,California,0636390,063639006195,7,192,935,110,902,109,2368,113,High
MENTONE ELEMENTARY,California,0632070,063207004942,2,4,287,12,101,3,428,19,Elementary
MERAKI HIGH,CALIFORNIA,0634620,063462014105,–,1,7,5,71,–,87,3,High
MERCED CITY SCHOOL DISTRICT COMMUNITY DAY,California,0624600,062460008740,0,0,10,1,2,0,13,0,Elementary
MERCED COUNTY JUVENILE COURT,California,0691020,069102009233,0,0,13,3,2,0,19,1,Other
MERCED COUNTY ROP,California,0600119,060011910964,0,0,0,0,0,0,0,0,High
MERCED COUNTY SPECIAL EDUCATION,California,0691020,069102007147,8,30,529,44,163,5,809,30,Other
MERCED ELEMENTARY,California,0642000,064200006880,–,142,436,11,17,–,613,7,Elementary
MERCED HIGH,California,0624660,062466003702,12,151,1196,138,284,4,1808,23,High
MERCED SCHOLARS CHARTER,California,0691020,069102010960,2,3,104,14,33,1,162,5,Other
MERCEY SPRINGS ELEMENTARY,California,0622740,062274013433,1,5,543,11,42,7,613,4,Elementary
MERIDIAN ELEMENTARY,California,0606810,060681000621,2,34,126,24,301,–,522,35,Elementary
MERIDIAN ELEMENTARY,California,0624690,062469003704,–,–,31,–,28,–,63,4,Elementary
MERIT ACADEMY,California,0616230,061623013711,1,1,34,4,30,–,72,2,High
MERLE L. FULLER ELEMENTARY,California,0608520,060852000849,5,6,351,9,125,2,499,1,Elementary
MERLINDA ELEMENTARY,California,0642000,064200006881,–,68,388,7,18,–,485,4,Elementary
MERQUIN ELEMENTARY,California,0617220,061722002178,–,2,124,–,21,1,149,1,Elementary
MERRILL F. WEST HIGH,California,0600047,060004707371,8,420,1271,141,309,35,2258,74,High
MERRITT TRACE ELEMENTARY,California,0634590,063459005741,1,46,585,22,139,–,847,54,Elementary
MERTON E. HILL ELEMENTARY,California,0614880,061488001851,–,171,107,2,9,4,303,10,Elementary
MERVYN M. DYMALLY HIGH,California,0622710,062271013079,1,–,518,142,3,1,672,7,High
MERWIN ELEMENTARY,California,0610050,061005001100,2,20,370,4,12,1,411,2,Elementary
MESA ELEMENTARY,California,0610050,061005001101,3,210,427,18,86,5,760,11,Elementary
MESA ELEMENTARY,California,0624720,062472003705,1,31,433,5,91,–,584,23,Elementary
MESA GRANDE ELEMENTARY,California,0600014,060001409078,–,2,477,27,80,1,600,13,Elementary
MESA LINDA MIDDLE,California,0601710,060171008288,6,8,536,206,68,3,886,59,Middle
MESA MIDDLE,California,0623080,062308009910,2,10,305,–,162,1,497,17,Middle
MESA ROBLES,California,0616325,061632502056,1,599,416,5,59,2,1100,18,Elementary
MESA VERDE ELEMENTARY,California,0600061,060006112206,4,9,280,5,110,–,429,21,Elementary
MESA VERDE HIGH,California,0634620,063462005798,5,31,319,37,377,5,829,55,High
MESA VERDE MIDDLE,California,0631530,063153002667,1,456,134,16,409,1,1167,150,Middle
MESA VERDE MIDDLE,California,0625690,062569004325,–,41,268,3,262,–,619,45,Middle
MESA VIEW ELEMENTARY,California,0633390,063339011886,3,41,380,81,278,8,835,44,Elementary
MESA VIEW MIDDLE,California,0643560,064356012413,5,12,355,18,293,–,697,14,Middle
MESA VIEW MIDDLE,California,0628140,062814004340,3,187,247,4,340,1,851,69,Middle
MESQUITE CONTINUATION HIGH,California,0636800,063680006237,3,2,18,8,39,1,72,1,High
MESQUITE ELEMENTARY,California,0629580,062958009608,10,6,550,80,26,1,689,16,Elementary
MESQUITE TRAILS ELEMENTARY,California,0600014,060001407295,2,8,542,31,247,–,847,17,Elementary
METHOD SCHOOLS LA,CALIFORNIA,0602150,060215014259,2,14,253,40,148,3,485,25,Other
METHODSCHOOLS,CALIFORNIA,0601682,060168213762,6,9,137,48,205,4,458,49,Other
METROPOLITAN CONTINUATION,California,0622710,062271003181,–,–,36,2,–,–,38,–,High
METWEST HIGH,California,0628050,062805011350,–,16,152,46,19,–,247,14,High
MEYLER STREET ELEMENTARY,California,0622710,062271003182,–,39,536,68,17,11,680,9,Elementary
MICHAEL D'ARCY ELEMENTARY,California,0609390,060939006353,2,16,372,56,13,1,466,6,Elementary
MICHAEL G. WICKMAN ELEMENTARY,California,0608460,060846011325,1,445,183,18,91,1,786,47,Elementary
MICHAEL J. CASTORI ELEMENTARY,California,0601332,060133204154,3,117,315,97,50,10,616,24,Elementary
MICHELLE OBAMA ELEMENTARY,California,0632550,063255005068,3,48,237,48,17,7,376,16,Elementary
MICHELLE OBAMA ELEMENTARY,California,0622710,062271013045,–,37,561,7,15,1,624,3,Elementary
MICHELTORENA STREET ELEMENTARY,California,0622710,062271003183,–,11,197,7,142,–,385,28,Elementary
MICKEY COX ELEMENTARY,California,0609030,060903008811,7,66,253,27,269,1,644,21,Elementary
MID VALLEY ALTERNATIVE CHARTER,California,0619890,061989004566,–,1,15,–,11,–,32,5,Elementary
MID VALLEY HIGH (CONTINUATION),California,0642540,064254000117,–,–,20,–,1,–,21,–,High
MID-CITY'S PRESCOTT SCHOOL OF ENRICHED SCIENCES,California,0622710,062271002823,–,7,149,45,12,–,225,12,Elementary
MIDDLE COLLEGE HIGH,California,0622710,062271010843,–,1,267,132,2,–,407,5,High
MIDDLE COLLEGE HIGH,California,0622230,062223008616,1,149,82,9,28,4,284,11,High
MIDDLE COLLEGE HIGH,California,0635310,063531007197,–,14,349,–,3,–,368,2,High
MIDDLE COLLEGE HIGH,California,0634590,063459008633,–,4,13,2,21,1,42,1,High
MIDDLE COLLEGE HIGH,California,0632550,063255009622,–,104,144,27,15,–,297,7,High
MIDDLE COLLEGE HIGH,California,0634170,063417010366,1,5,233,21,11,1,278,6,High
MIDDLETON PRIMARY CENTER,California,0622710,062271011620,–,–,248,–,3,–,251,–,Elementary
MIDDLETON STREET ELEMENTARY,California,0622710,062271003184,–,–,775,3,9,1,791,3,Elementary
MIDDLETOWN HIGH,California,0624750,062475003708,3,6,121,2,307,2,457,16,High
MIDDLETOWN MIDDLE,California,0624750,062475009155,5,–,56,2,138,–,209,8,Middle
MIDLAND ELEMENTARY,California,0631530,063153004889,–,60,188,9,271,–,592,64,Elementary
MIDLAND ELEMENTARY,California,0625800,062580003866,1,4,435,65,34,9,572,24,Elementary
MIDWAY ELEMENTARY,California,0624780,062478003709,1,–,14,–,55,–,72,2,Elementary
MIGUEL HIDALGO ELEMENTARY,California,0605790,060579000521,1,–,591,4,6,–,606,4,Elementary
MIGUEL HIDALGO ELEMENTARY,California,0614550,061455008845,4,73,497,40,8,1,631,8,Elementary
MIGUELITO ELEMENTARY,California,0622410,062241008882,5,18,427,10,131,1,623,31,Elementary
MIKE CHOATE EARLY CHILDHOOD EDUCATION CENTER,CALIFORNIA,0613500,061350014137,†,†,†,†,†,†,†,†,Not Reported
MILDRED B. JANSON ELEMENTARY,California,0633570,063357005179,–,390,154,1,11,–,580,24,Elementary
MILDRED PERKINS ELEMENTARY,CALIFORNIA,0633900,063390014035,2,31,215,20,69,7,366,22,Elementary
MILES AVENUE ELEMENTARY,California,0622710,062271003185,–,1,880,2,18,–,902,1,Elementary
MILES P. RICHMOND,California,0601332,060133207728,0,4,26,12,12,0,58,4,High
MILES W. CULWELL COMMUNITY DAY,California,0609120,060912008696,0,0,2,0,0,0,3,1,High
MILK (HARVEY) CIVIL RIGHTS ELEMENTARY,California,0634410,063441005601,–,10,43,20,116,1,228,38,Elementary
MILL ELEMENTARY,California,0642450,064245006943,1,3,364,–,11,–,392,13,Elementary
MILL STREET ELEMENTARY,California,0600045,060004507092,6,9,353,1,125,–,504,10,Elementary
MILL VALLEY MIDDLE,California,0624870,062487003712,2,46,87,6,702,–,940,97,Middle
MILLARD MCCOLLAM ELEMENTARY,California,0602310,060231000112,5,194,226,12,23,–,481,21,Elementary
MILLBROOK ELEMENTARY,California,0613140,061314008836,2,396,157,3,15,5,594,16,Elementary
MILLENNIAL TECH MIDDLE,California,0634320,063432012376,–,29,261,82,8,3,402,19,Middle
MILLENNIUM CHARTER,CALIFORNIA,0601698,060169811426,1,89,269,32,121,5,538,21,High
MILLENNIUM HIGH ALTERNATIVE,California,0630330,063033007819,–,5,12,8,21,–,57,11,High
MILLER (ISAAC) ELEMENTARY,California,0605580,060558009319,–,9,843,6,33,–,904,13,Elementary
MILLER CREEK MIDDLE,California,0611220,061122001247,1,59,133,16,413,4,692,66,Middle
MILLER ELEMENTARY,California,0634320,063432005519,1,25,197,40,306,4,641,68,Elementary
MILLER ELEMENTARY,California,0612880,061288001460,–,33,228,4,80,1,374,28,Elementary
MILLER'S HILL,California,0621180,062118008151,2,3,10,–,73,–,95,7,Middle
MILLIKAN HIGH,California,0622500,062250002745,5,283,1616,297,1119,28,3483,135,High
MILLIKIN ELEMENTARY,California,0635430,063543006044,4,493,12,8,30,–,563,16,Elementary
MILLS HIGH,California,0634980,063498005924,3,649,235,8,152,23,1180,110,High
MILLS MIDDLE,California,0613890,061389001576,1,59,310,98,191,17,745,69,Middle
MILLSWOOD MIDDLE,California,0622230,062223011414,2,43,418,8,316,–,831,44,Middle
MILLVIEW ELEMENTARY,California,0623340,062334003550,10,2,663,12,16,–,704,1,Elementary
MILLVILLE ELEMENTARY,California,0624930,062493003723,3,1,22,–,203,–,243,14,Elementary
MILOR CONTINUATION HIGH,California,0632370,063237007338,1,3,191,29,9,0,235,2,High
MILPITAS HIGH,California,0624500,062450003666,8,2222,625,56,122,13,3198,152,High
MINARETS CHARTER HIGH,California,0600116,060011613035,4,2,59,4,165,–,248,14,High
MINARETS HIGH,California,0600116,060011612212,28,–,57,–,158,–,256,13,High
MINERAL KING ELEMENTARY,California,0641160,064116006799,3,17,448,12,86,1,597,30,Elementary
MINNIE CANNON ELEMENTARY,California,0624750,062475003706,–,–,60,1,90,1,165,13,Elementary
MINT CANYON COMMUNITY ELEMENTARY,California,0638220,063822006447,1,11,312,15,49,2,405,15,Elementary
MINTIE WHITE ELEMENTARY,California,0629490,062949004546,–,1,507,2,26,–,546,10,Elementary
MIRA CATALINA ELEMENTARY,California,0629700,062970004612,2,61,76,3,190,–,374,42,Elementary
MIRA COSTA HIGH,California,0600025,060002506328,3,248,327,39,1493,7,2463,346,High
MIRA LOMA HIGH,California,0634620,063462005799,5,476,369,116,618,17,1723,122,High
MIRA LOMA MIDDLE,California,0619260,061926004980,–,7,680,2,29,1,727,8,Middle
MIRA MESA HIGH,California,0634320,063432005520,3,1110,549,89,257,19,2336,309,High
MIRA MONTE ELEMENTARY,California,0628270,062827004378,–,9,130,3,158,–,318,18,Elementary
MIRA MONTE HIGH,California,0619540,061954012155,5,26,2417,137,68,2,2678,23,High
MIRA VISTA ELEMENTARY,California,0632550,063255005044,1,63,233,97,148,2,605,61,Elementary
MIRALESTE INTERMEDIATE,California,0629700,062970004620,2,120,213,16,351,2,786,82,Middle
MIRALOMA ELEMENTARY,California,0634410,063441005648,3,57,51,14,170,3,368,70,Elementary
MIRAMAR RANCH ELEMENTARY,California,0634320,063432005521,2,183,102,26,227,1,617,76,Elementary
MIRAMONTE ELEMENTARY,California,0622710,062271003188,–,–,646,13,8,–,669,2,Elementary
MIRAMONTE ELEMENTARY,California,0626190,062619003917,–,16,429,1,2,–,449,1,Elementary
MIRAMONTE ELEMENTARY,California,0609030,060903000914,3,70,368,6,149,–,608,12,Elementary
MIRAMONTE HIGH,California,0601650,060165000036,8,255,82,22,731,5,1173,70,High
MIRANDA JUNIOR HIGH,CALIFORNIA,0637590,063759013805,2,–,18,2,69,2,96,3,Middle
MIRUS SECONDARY,CALIFORNIA,0601847,060184711899,1,4,211,18,71,–,321,16,High
MISSION ACADEMY,CALIFORNIA,0601746,060174614230,4,20,337,56,59,–,491,15,High
MISSION AVENUE OPEN ELEMENTARY,California,0634620,063462005800,2,33,63,8,286,–,432,40,Elementary
MISSION BAY HIGH,California,0634320,063432005522,2,37,559,57,441,8,1186,82,High
MISSION BELL ELEMENTARY,California,0619260,061926002313,–,1,363,5,7,–,378,2,Elementary
MISSION COMMUNITY DAY,California,0609690,060969012716,0,0,7,1,0,0,8,0,High
MISSION CONTINUATION,California,0622710,062271003189,–,1,76,–,3,–,80,–,High
