School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2020-21,Asian or Asian/Pacific Islander Students [Public School] 2020-21,Hispanic Students [Public School] 2020-21,Black or African American Students [Public School] 2020-21,White Students [Public School] 2020-21,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2020-21,Total Race/Ethnicity [Public School] 2020-21,Two or More Races Students [Public School] 2020-21,School Level (SY 2017-18 onward) [Public School] 2020-21
ALAMEDA COUNTY SPECIAL EDUCATION,California,0691051,069105108672,†,†,†,†,†,†,†,†,Not Reported
ALAMEDA ELEMENTARY,California,0611460,061146001260,3,24,738,27,28,2,830,8,Elementary
ALAMEDA HIGH,California,0601770,060177000041,2,646,269,74,558,13,1739,177,High
ALAMEDA SCIENCE AND TECHNOLOGY INSTITUTE,California,0601770,060177010547,–,108,18,5,25,–,170,14,High
ALAMEDA UNIFIED SPECIAL EDUCATION,CALIFORNIA,0601770,060177014340,†,†,†,†,†,†,†,†,Not Reported
ALAMITOS INTERMEDIATE,California,0614880,061488001822,–,249,410,8,19,4,710,20,Middle
ALAMO ELEMENTARY,California,0635130,063513005942,–,50,22,1,178,–,303,52,Elementary
ALAMO ELEMENTARY,California,0640590,064059006697,5,22,231,23,336,4,681,60,Elementary
ALAMO ELEMENTARY,California,0634410,063441005582,–,199,53,8,151,4,519,104,Elementary
ALAMOS ELEMENTARY,California,0600028,060002811039,–,119,309,35,302,5,866,96,Elementary
ALAMOSA PARK ELEMENTARY,California,0641190,064119009204,1,24,204,8,172,8,472,55,Elementary
ALBA,California,0634320,063432007682,0,0,20,3,2,0,27,2,Other
ALBANY HIGH,California,0601860,060186000059,2,369,191,36,400,3,1179,178,High
ALBANY MIDDLE,California,0601860,060186000060,1,271,126,33,259,–,839,149,Middle
ALBANY PARK ELEMENTARY,California,0610890,061089007275,–,41,292,1,4,–,344,6,Elementary
ALBERHILL ELEMENTARY,CALIFORNIA,0600027,060002714467,–,12,203,10,68,–,304,11,Elementary
ALBERT A. MICHELSON ELEMENTARY,California,0640680,064068006715,3,2,38,–,124,2,181,12,Elementary
ALBERT BAXTER ELEMENTARY,California,0604440,060444005836,–,18,264,19,10,5,323,7,Elementary
ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,CALIFORNIA,0602409,060240910637,1,12,327,7,107,–,801,347,Elementary
ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,CALIFORNIA,0601896,060189611766,1,17,393,20,155,1,601,14,Middle
