,District Name,nces_id,Dissimilarity,State,Size
124,Sequoia Union High,636390,0.2828318029519941,California,8633
226,Joliet Twp HSD 204,1720610,0.2827167345998725,Illinois,6958
163,BROWARD,1200180,0.2826367352213581,FLORIDA,84723
22,Deer Valley Unified District (4246),407750,0.28169291419856657,Arizona,10867
469,LA JOYA ISD,4826130,0.28080120937263797,Texas,7956
45,Burbank Unified,606450,0.28006433706409556,California,5139
19,Peoria Unified School District (4237),406250,0.27992326824228664,Arizona,13101
87,Montebello Unified,625470,0.27930565699431287,California,7697
357,Cabarrus County Schools,3700530,0.27666789268272746,North Carolina,10878
6,Montgomery County,102430,0.27607623451678787,Alabama,7378
449,ECTOR COUNTY ISD,4818000,0.2756799547080877,Texas,8851
265,Anne Arundel County Public Schools,2400060,0.27555506598891755,Maryland,23435
340,NEW YORK CITY GEOGRAPHIC DISTRICT #14,3600119,0.2751906343671559,New York,6261
121,Santa Ana Unified,635310,0.27487471728684254,California,14606
284,Dearborn City School District,2611600,0.2746309767195222,Michigan,6698
107,Riverside Unified,633150,0.2745891286180671,California,12599
506,Jordan District,4900420,0.27412020764207035,Utah,14553
23,Tempe Union High School District (4287),408340,0.27396963481832104,Arizona,12997
339,NEW YORK CITY GEOGRAPHIC DISTRICT #31,3600103,0.2732900375892343,New York,17508
52,Coachella Valley Unified,609070,0.27293472439103506,California,5455
168,DUVAL,1200480,0.2721172729572474,Florida,36005
514,CHESTERFIELD CO PBLC SCHS,5100840,0.2720838661721174,Virginia,20173
528,Bellevue School District,5300390,0.27169281372847676,Washington,7147
435,ARLINGTON ISD,4808700,0.27057656014281395,Texas,17230
442,CONROE ISD,4815000,0.27056261834639256,Texas,20672
335,NEW YORK CITY GEOGRAPHIC DISTRICT #24,3600098,0.26973693401765,New York,13229
249,Boone County,2100510,0.26956170193290513,KENTUCKY,6447
180,ORANGE,1201440,0.26838787027157585,Florida,64431
248,Wichita,2012990,0.2683548938247498,Kansas,13014
354,Pitt County Schools,3700012,0.2641819164943105,North Carolina,7391
471,LAREDO ISD,4826790,0.26297716286047673,Texas,6034
34,Natomas Unified,600036,0.26206146384427137,California,5028
445,CYPRESS-FAIRBANKS ISD,4816110,0.2617632938016959,Texas,37567
148,El Paso County Colorado School District 49,803870,0.259620687695748,Colorado,9949
511,Weber District,4901200,0.25866573273006077,Utah,7914
300,HAZELWOOD,2913830,0.25836773608853925,Missouri,5248
235,Rockford SD 205,1734510,0.2574327650803982,Illinois,8025
411,Richland 02,4503390,0.256851880470665,South Carolina,8900
147,Douglas County School District No. Re 1,803450,0.2548454578068113,Colorado,20175
455,GALENA PARK ISD,4820250,0.2540065393463727,Texas,6859
542,Seattle School District No. 1,5307710,0.2530812472128422,Washington,15545
72,Grossmont Union High,616230,0.252080308430763,California,17044
317,Jersey City Public Schools,3407830,0.2518640755217937,New Jersey,6772
378,Columbus City School District,3904380,0.25041710130493156,Ohio,13547
182,PALM BEACH,1201500,0.25002533488219714,Florida,60673
46,Campbell Union High,607230,0.24988012658632486,California,8320
259,Lafayette Parish,2200870,0.24961566630725246,Louisiana,10194
65,Fontana Unified,613920,0.2490861422711571,California,12064
203,Forsyth County,1302220,0.2476195315689356,GEORGIA,16833
252,Warren County,2105730,0.24738410696964414,KENTUCKY,5263
548,KANAWHA COUNTY SCHOOLS,5400600,0.24598525217547224,West Virginia,7769
193,Bibb County,1300420,0.24484190782422294,Georgia,5336
437,BIRDVILLE ISD,4810230,0.2447589739095009,Texas,7063
37,Alhambra Unified,600153,0.24441068929226295,California,6376
394,North Clackamas SD 12,4108830,0.24337987786488222,OREGON,5051
334,NEW YORK CITY GEOGRAPHIC DISTRICT #17,3600095,0.24187454034504743,New York,8111
130,Torrance Unified,639420,0.24152164436584883,California,7647
465,KATY ISD,4825170,0.24021902739006448,Texas,25202
90,Napa Valley Unified,626640,0.23985236854663652,California,5902
451,EL PASO ISD,4818300,0.23964754457004417,Texas,17838
176,MANATEE,1201230,0.2379839982643835,Florida,15601
127,Stockton Unified,638010,0.23787897896014426,California,11083
373,Wake County Schools,3704720,0.23774198723744416,NORTH CAROLINA,52125
292,ROSEMOUNT-APPLE VALLEY-EAGAN,2732390,0.2369491152033265,MINNESOTA,9567
142,Boulder Valley School District No. Re2,802490,0.23687606147388574,Colorado,9694
502,Alpine District,4900030,0.23544654698849982,Utah,20556
185,POLK,1201590,0.23468525839934803,Florida,33885
250,Fayette County,2101860,0.2346167407996124,Kentucky,12809
119,San Mateo Union High,634980,0.23434333839918947,California,9056
458,GRAND PRAIRIE ISD,4821420,0.23431049950672259,Texas,9946
403,Berkeley 01,4501170,0.2340225132579408,South Carolina,10940
362,Guilford County Schools,3701920,0.2336687550543175,North Carolina,23004
337,NEW YORK CITY GEOGRAPHIC DISTRICT #28,3600100,0.23349565756633756,New York,15213
63,Fairfield-Suisun Unified,613360,0.23289797068432172,California,6863
238,Evansville Vanderburgh School Corp,1803450,0.2324161664665866,Indiana,6206
452,FORT BEND ISD,4819650,0.23151187991099498,TEXAS,25657
260,Livingston Parish,2201020,0.23142789829200677,Louisiana,7129
549,Green Bay Area Public School District,5505820,0.23130739494894575,Wisconsin,5578
512,ARLINGTON CO PBLC SCHS,5100270,0.23116402516955603,Virginia,8019
