District Name,nces_id,Dissimilarity,State,Size
Pittsburg Unified,630600,0.04226143718120034,California,3824
Placentia-Yorba Linda Unified,630660,0.16155371892726517,California,7797
Placer Union High,630750,0.04850930653928514,California,3814
Pomona Unified,631320,0.4127197083021691,California,6973
Poway Unified,631530,0.28048488358875784,California,11616
Redlands Unified,632070,0.275108431364647,California,6563
Rialto Unified,632370,0.1729827093706599,California,7812
West Contra Costa Unified,632550,0.29614377293116423,California,7775
Riverside Unified,633150,0.38067581110734583,California,12599
Roseville Joint Union High,633630,0.14258577653912197,California,10571
Rowland Unified,633750,0.4828451300002138,California,3827
Sacramento City Unified,633840,0.24200675379653627,California,12403
Saddleback Valley Unified,633860,0.1198178277095757,California,8407
Salinas Union High,633980,0.18882272081119839,California,12095
San Benito High,634140,0.02003535651149089,California,3491
San Bernardino City Unified,634170,0.1391803602611823,California,13283
San Diego Unified,634320,0.3825997224016731,California,28554
San Dieguito Union High,634380,0.4190479969635278,California,8888
San Francisco Unified,634410,0.31530716337585557,California,15697
San Jacinto Unified,634440,0.06604450825556352,California,2831
San Jose Unified,634590,0.4379697263671755,California,8620
San Juan Unified,634620,0.37256938497774483,California,12554
San Leandro Unified,634680,0.053994715559902456,California,2856
San Lorenzo Unified,634710,0.2921343779118073,California,3137
San Luis Coastal Unified,634800,0.049906503873411,California,2492
San Marcos Unified,634880,0.06741426170789049,California,6785
San Mateo Union High,634980,0.19698180533907841,California,9056
San Rafael City High,635110,0.2009103751373411,California,2608
San Ramon Valley Unified,635130,0.43410003462677715,California,10514
Sanger Unified,635250,0.01925465838509319,California,3641
Santa Ana Unified,635310,0.327866320262133,California,14606
Santa Clara Unified,635430,0.09813433721907605,California,4164
Santa Cruz City High,635600,0.12947356329041215,California,3364
Santa Maria Joint Union High,635670,0.20478615715551057,California,9242
Santa Monica-Malibu Unified,635700,0.0755284004259186,California,3255
Santa Rosa High,635830,0.15779317986060876,California,7709
Sequoia Union High,636390,0.43205567072089424,California,8633
Shasta Union High,636600,0.29783123247396426,California,4258
Simi Valley Unified,636840,0.1810978236375315,California,5249
Snowline Joint Unified,636970,0.04459760560616032,California,2260
Victor Valley Union High,636972,0.37534909565634117,California,10109
South San Francisco Unified,637530,0.22442558995434753,California,2644
Stockton Unified,638010,0.3252139551121963,California,11083
Sweetwater Union High,638640,0.367985831443171,California,26586
Tamalpais Union High,638790,0.12981561651517948,California,5038
Torrance Unified,639420,0.10477152034811935,California,7647
Tulare Joint Union High,639930,0.16503213576884807,CALIFORNIA,5764
Tustin Unified,640150,0.4842900999166774,California,8164
Vacaville Unified,640590,0.11710410929398915,California,4491
