District Name,nces_id,Dissimilarity,State,Size
OSSEO PUBLIC SCHOOL DISTRICT,2725200,0.13509573019306254,MINNESOTA,6712
ROCHESTER PUBLIC SCHOOL DISTRICT,2731800,0.2912109692632948,Minnesota,5726
ROSEMOUNT-APPLE VALLEY-EAGAN,2732390,0.28854940813430835,MINNESOTA,9445
South Washington County Schools,2733810,0.20669189375845298,Minnesota,6100
ST. PAUL PUBLIC SCHOOL DISTRICT,2733840,0.2712363298454203,Minnesota,12101
DESOTO CO SCHOOL DIST,2801320,0.35703576341127924,Mississippi,10813
RANKIN CO SCHOOL DIST,2803830,0.4967748647523928,Mississippi,5911
COLUMBIA 93,2901000,0.23085808580858086,Missouri,5557
FT. ZUMWALT R-II,2908370,0.20814868804664724,Missouri,5917
LEE'S SUMMIT R-VII,2918300,0.13798280333014876,Missouri,5958
NORTH KANSAS CITY 74,2922800,0.17277907449231264,Missouri,6198
PARKWAY C-2,2923580,0.1367739737693749,Missouri,5354
ROCKWOOD R-VI,2926850,0.28086258645439127,Missouri,7009
SPRINGFIELD R-XII,2928860,0.27376485303314574,Missouri,6769
FRANCIS HOWELL R-III,2928950,0.13768673687156702,Missouri,5305
Billings H S,3003900,0.18208406056889476,Montana,5660
LINCOLN PUBLIC SCHOOLS,3172840,0.1663643541174629,Nebraska,12840
MILLARD PUBLIC SCHOOLS,3173740,0.40380305933552013,NEBRASKA,7476
OMAHA PUBLIC SCHOOLS,3174820,0.6506244445272595,Nebraska,14982
STATE-SPONSORED CHARTER SCHOOLS,3200001,0.5124526830869606,Nevada,5743
CLARK COUNTY SCHOOL DISTRICT,3200060,0.4461910500148614,NEVADA,104524
WASHOE COUNTY SCHOOL DISTRICT,3200480,0.33617098084864205,Nevada,20271
Elizabeth Public Schools,3404590,0.2906442577030812,New Jersey,7492
Freehold Regional High School District,3405610,0.317300294749463,New Jersey,10413
Jersey City Public Schools,3407830,0.38467073516889017,New Jersey,6772
Lenape Regional High School District,3408490,0.2372513847548836,New Jersey,6615
Newark Public School District,3411340,0.5228494623655915,New Jersey,9642
